pg_id,gamme,current_keyword_id,current_keyword,current_v_level,type_id,marque,modele,modele_id,modele_parent,type_name,type_fuel,relation,simulated_action,reason,source_type_id,source_v_level,source_keyword,risk
402,plaquette-de-frein,40445,plaquette de frein 407 2.2 16v,V5,17850,PEUGEOT,407,128057,0,2.2 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40446,plaquette de frein 407 3.0,V5,17851,PEUGEOT,407,128057,0,3.0,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40454,plaquette de frein 407 1.8 16v,V5,17987,PEUGEOT,407,128057,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29424,plaquette de frein 1.2 tce,V5,9255,RENAULT,TWINGO II,140098,0,1.2 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40422,plaquette de frein megane ii 2.0 16v,V5,16918,RENAULT,MEGANE II,140046,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40215,plaquette de frein mondeo i 1.8 16v,V5,1304,FORD,MONDEO I,60113,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40216,plaquette de frein mondeo i 2.0 16v,V5,1306,FORD,MONDEO I,60113,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40251,plaquette de frein mondeo i 2.5 24v,V5,3914,FORD,MONDEO I,60113,0,2.5 24V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40258,plaquette de frein mondeo i 2.0 4x4 16v,V5,4827,FORD,MONDEO I,60113,0,2.0 4x4 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29373,plaquette de frein 2.0 4x4 16v,V5,4827,FORD,MONDEO I,60113,0,2.0 4x4 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29345,plaquette de frein 1.8 16v,V5,1304,FORD,MONDEO I,60113,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29474,plaquette de frein 1.8 4x4 16v,V5,15280,FORD,MONDEO I,60113,0,1.8 4x4 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40377,plaquette de frein mondeo i 1.8 4x4 16v,V5,15280,FORD,MONDEO I,60113,0,1.8 4x4 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40436,plaquette de frein focus c-max 1.8 16v,V5,17630,FORD,FOCUS C-MAX,60075,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40442,plaquette de frein focus c-max 1.6 16v,V5,17745,FORD,FOCUS C-MAX,60075,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40466,plaquette de frein focus c-max 2.0 16v,V5,18095,FORD,FOCUS C-MAX,60075,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29549,plaquette de frein 1.6 ti 16v,V5,18500,FORD,FOCUS C-MAX,60075,0,1.6 Ti 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40477,plaquette de frein focus c-max 1.6 ti 16v,V5,18500,FORD,FOCUS C-MAX,60075,0,1.6 Ti 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29607,plaquette de frein 1.6 chrono,V5,20706,CITROËN,XSARA PICASSO,46086,0,1.6 Chrono,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40437,plaquette de frein focus c-max 1.6 tdci,V5,17631,FORD,FOCUS C-MAX,60075,0,1.6 TDCI,Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40489,plaquette de frein focus c-max 1.8 tdci,V5,18937,FORD,FOCUS C-MAX,60075,0,1.8 TDCI,Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29495,plaquette de frein 1.6 16v 4x4,V5,16206,RENAULT,KANGOO I,140021,0,1.6 16V 4x4,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29780,plaquette de frein 1.0 rn 16v,V5,52449,RENAULT,KANGOO I,140021,0,1.0 RN 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29582,plaquette de frein 1.8 gti,V5,19253,VOLKSWAGEN,POLO V,173113,0,1.8 GTI,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40271,plaquette de frein mondeo i 1.8 td,V5,5343,FORD,MONDEO I,60113,0,1.8 TD,Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29386,plaquette de frein 1.8 td,V5,5343,FORD,MONDEO I,60113,0,1.8 TD,Diesel,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40544,plaquette de frein kangoo i 1.6,V5,20585,RENAULT,KANGOO I,140021,0,1.6,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40766,plaquette de frein kangoo i 1.0 rn 16v,V5,52449,RENAULT,KANGOO I,140021,0,1.0 RN 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40404,plaquette de frein kangoo i 1.2 16v,V5,16209,RENAULT,KANGOO I,140021,0,1.2 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40402,plaquette de frein kangoo i 1.6 16v,V5,16205,RENAULT,KANGOO I,140021,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
